Week,Popular_Score_100
2023-10-15,85
2023-10-22,80
2023-10-29,77
2023-11-05,89
2023-11-12,92
2023-11-19,89
2023-11-26,81
2023-12-03,79
2023-12-10,83
2023-12-17,86
2023-12-24,81
2023-12-31,81
2024-01-07,70
2024-01-14,68
2024-01-21,79
2024-01-28,74
2024-02-04,79
2024-02-11,81
2024-02-18,100
2024-02-25,87
2024-03-03,77
2024-03-10,78
2024-03-17,79
2024-03-24,76
2024-03-31,69
2024-04-07,73
2024-04-14,65
2024-04-21,71
2024-04-28,84
2024-05-05,69
2024-05-12,74
2024-05-19,75
2024-05-26,66
2024-06-02,72
2024-06-09,81
2024-06-16,86
2024-06-23,76
2024-06-30,71
2024-07-07,71
2024-07-14,80
2024-07-21,75
2024-07-28,82
2024-08-04,67
2024-08-11,89
2024-08-18,77
2024-08-25,77
2024-09-01,74
2024-09-08,67
2024-09-15,63
2024-09-22,61
2024-09-29,61
2024-10-06,70
2024-10-13,64
